,Age,Overall,Potential,Preferred Foot,Weak Foot,Skill Moves,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Name,Nationality
505,27,80,82,1,3.0,2.0,62.0,61.0,71.0,77.0,60.0,68.0,62.0,57.0,70.0,75.0,54.0,61.0,68.0,81.0,65.0,79.0,79.0,78.0,92.0,60.0,89.0,83.0,63.0,64.0,65.0,76.0,78.0,85.0,77.0,6.0,14.0,10.0,13.0,16.0,V. Wanyama,Kenya
506,28,80,80,1,3.0,3.0,60.0,33.0,77.0,75.0,64.0,68.0,37.0,28.0,72.0,74.0,72.0,72.0,68.0,74.0,78.0,58.0,83.0,63.0,74.0,46.0,76.0,80.0,54.0,63.0,50.0,77.0,79.0,82.0,77.0,6.0,7.0,6.0,15.0,7.0,N. Nkoulou,Cameroon
507,28,80,80,0,4.0,4.0,82.0,77.0,45.0,81.0,73.0,81.0,83.0,82.0,76.0,80.0,75.0,73.0,78.0,74.0,78.0,78.0,61.0,68.0,61.0,76.0,58.0,32.0,75.0,85.0,90.0,79.0,55.0,35.0,30.0,10.0,12.0,16.0,10.0,14.0,R. Boudebouz,Algeria
508,28,80,81,1,3.0,2.0,50.0,58.0,83.0,80.0,52.0,64.0,62.0,59.0,74.0,75.0,63.0,55.0,68.0,81.0,63.0,76.0,85.0,79.0,75.0,54.0,85.0,86.0,66.0,76.0,48.0,76.0,78.0,81.0,74.0,9.0,13.0,15.0,8.0,10.0,Camacho,Spain
509,29,80,80,1,2.0,1.0,14.0,12.0,8.0,41.0,13.0,13.0,12.0,15.0,38.0,22.0,41.0,40.0,34.0,79.0,39.0,24.0,66.0,29.0,41.0,11.0,25.0,14.0,8.0,42.0,22.0,45.0,16.0,18.0,14.0,79.0,72.0,69.0,80.0,86.0,S. Ulreich,Germany
510,27,80,80,1,3.0,3.0,55.0,40.0,76.0,69.0,36.0,65.0,53.0,45.0,67.0,67.0,69.0,71.0,73.0,76.0,68.0,57.0,83.0,68.0,76.0,53.0,76.0,84.0,50.0,64.0,57.0,76.0,84.0,84.0,80.0,5.0,11.0,12.0,6.0,12.0,M. Musacchio,Argentina
511,31,80,80,1,3.0,4.0,68.0,80.0,87.0,74.0,74.0,78.0,66.0,57.0,65.0,79.0,70.0,69.0,65.0,81.0,62.0,79.0,83.0,81.0,78.0,75.0,81.0,36.0,82.0,69.0,80.0,77.0,45.0,49.0,42.0,16.0,14.0,9.0,16.0,8.0,C. Stuani,Uruguay
512,28,80,80,1,2.0,1.0,16.0,10.0,23.0,29.0,10.0,19.0,18.0,11.0,25.0,25.0,42.0,44.0,41.0,72.0,50.0,23.0,67.0,35.0,68.0,12.0,34.0,23.0,11.0,36.0,24.0,45.0,25.0,16.0,20.0,81.0,80.0,76.0,76.0,81.0,P. Gulácsi,Hungary
513,34,80,80,0,3.0,3.0,60.0,66.0,61.0,85.0,48.0,74.0,72.0,77.0,84.0,78.0,34.0,31.0,49.0,77.0,60.0,80.0,58.0,50.0,72.0,76.0,76.0,80.0,69.0,85.0,75.0,84.0,81.0,80.0,78.0,13.0,10.0,9.0,11.0,8.0,Bruno,Spain
514,28,80,80,0,3.0,3.0,74.0,64.0,60.0,82.0,59.0,77.0,72.0,53.0,76.0,82.0,75.0,72.0,87.0,81.0,86.0,82.0,67.0,87.0,65.0,75.0,84.0,80.0,72.0,73.0,65.0,76.0,77.0,81.0,79.0,10.0,9.0,14.0,11.0,6.0,F. Delph,England
515,30,80,80,1,5.0,4.0,74.0,72.0,67.0,84.0,72.0,84.0,77.0,66.0,76.0,85.0,70.0,69.0,78.0,74.0,75.0,72.0,70.0,77.0,64.0,71.0,76.0,64.0,75.0,83.0,70.0,80.0,61.0,64.0,62.0,6.0,15.0,14.0,8.0,11.0,A. Lallana,England
516,31,80,80,1,2.0,2.0,36.0,48.0,83.0,70.0,42.0,51.0,39.0,41.0,72.0,65.0,54.0,54.0,49.0,71.0,47.0,76.0,81.0,85.0,90.0,30.0,83.0,81.0,39.0,57.0,51.0,71.0,80.0,82.0,73.0,16.0,15.0,10.0,7.0,14.0,Marcelo,Brazil
517,29,80,80,1,3.0,3.0,82.0,61.0,69.0,78.0,64.0,79.0,42.0,53.0,70.0,78.0,77.0,75.0,73.0,80.0,74.0,75.0,71.0,77.0,69.0,66.0,78.0,80.0,75.0,70.0,55.0,82.0,78.0,84.0,82.0,5.0,15.0,10.0,13.0,7.0,S. Coleman,Republic of Ireland
518,28,80,80,1,3.0,4.0,68.0,80.0,69.0,75.0,75.0,81.0,81.0,70.0,53.0,80.0,84.0,85.0,83.0,78.0,69.0,76.0,78.0,67.0,72.0,73.0,63.0,29.0,79.0,66.0,74.0,74.0,35.0,23.0,19.0,16.0,7.0,13.0,15.0,8.0,Alexandre Pato,Brazil
519,31,80,80,0,3.0,3.0,81.0,56.0,69.0,77.0,69.0,74.0,82.0,80.0,76.0,80.0,76.0,79.0,76.0,78.0,76.0,87.0,63.0,85.0,68.0,84.0,75.0,80.0,70.0,66.0,61.0,70.0,68.0,81.0,82.0,10.0,7.0,10.0,9.0,14.0,Antunes,Portugal
520,32,80,80,0,3.0,3.0,76.0,55.0,72.0,77.0,58.0,73.0,74.0,52.0,61.0,77.0,72.0,67.0,70.0,82.0,73.0,74.0,74.0,74.0,65.0,61.0,77.0,81.0,66.0,66.0,61.0,76.0,80.0,83.0,81.0,7.0,5.0,9.0,3.0,5.0,Nacho Monreal,Spain
521,31,80,80,1,3.0,3.0,80.0,69.0,47.0,84.0,61.0,72.0,83.0,84.0,82.0,80.0,64.0,41.0,70.0,78.0,73.0,87.0,59.0,77.0,70.0,76.0,74.0,70.0,77.0,84.0,69.0,73.0,63.0,73.0,65.0,16.0,10.0,14.0,6.0,13.0,Beñat,Spain
522,32,80,80,1,3.0,4.0,70.0,69.0,59.0,81.0,57.0,78.0,65.0,61.0,80.0,81.0,69.0,71.0,75.0,80.0,79.0,74.0,59.0,75.0,73.0,73.0,80.0,77.0,78.0,81.0,62.0,81.0,68.0,76.0,64.0,9.0,13.0,6.0,16.0,9.0,A. Fernández,Argentina
523,31,80,80,1,3.0,3.0,70.0,78.0,67.0,79.0,78.0,75.0,76.0,70.0,72.0,79.0,86.0,85.0,81.0,80.0,77.0,82.0,85.0,75.0,64.0,73.0,66.0,38.0,85.0,75.0,81.0,82.0,50.0,33.0,39.0,6.0,10.0,8.0,8.0,6.0,K. Gameiro,France
524,33,80,80,1,4.0,5.0,69.0,81.0,54.0,78.0,77.0,86.0,80.0,55.0,74.0,84.0,77.0,76.0,87.0,82.0,81.0,83.0,31.0,89.0,73.0,80.0,79.0,55.0,83.0,77.0,80.0,82.0,61.0,62.0,24.0,14.0,13.0,7.0,7.0,15.0,I. Piatti,Argentina
525,31,80,80,0,4.0,4.0,78.0,62.0,60.0,82.0,73.0,84.0,78.0,78.0,76.0,86.0,70.0,74.0,68.0,76.0,68.0,84.0,68.0,72.0,77.0,83.0,55.0,49.0,75.0,82.0,76.0,80.0,68.0,52.0,40.0,3.0,5.0,5.0,5.0,3.0,V. Birsa,Slovenia
526,31,80,80,1,3.0,1.0,11.0,14.0,12.0,39.0,17.0,12.0,12.0,13.0,48.0,40.0,47.0,44.0,52.0,78.0,44.0,14.0,63.0,35.0,75.0,11.0,33.0,21.0,11.0,55.0,16.0,62.0,14.0,11.0,15.0,78.0,76.0,81.0,77.0,82.0,S. Romero,Argentina
527,31,80,80,0,3.0,3.0,82.0,56.0,69.0,80.0,62.0,72.0,72.0,66.0,81.0,73.0,78.0,77.0,68.0,78.0,65.0,68.0,80.0,89.0,73.0,59.0,79.0,77.0,68.0,75.0,70.0,75.0,84.0,82.0,83.0,13.0,10.0,16.0,9.0,9.0,D. Criscito,Italy
528,32,80,80,1,3.0,3.0,78.0,80.0,70.0,79.0,75.0,78.0,80.0,79.0,76.0,82.0,62.0,60.0,72.0,80.0,73.0,85.0,68.0,82.0,63.0,84.0,53.0,36.0,84.0,82.0,79.0,83.0,39.0,40.0,30.0,15.0,15.0,8.0,10.0,12.0,D. Valeri,Argentina
529,28,80,80,0,2.0,4.0,62.0,83.0,70.0,72.0,73.0,79.0,62.0,68.0,62.0,80.0,72.0,78.0,74.0,78.0,64.0,82.0,70.0,55.0,66.0,79.0,60.0,22.0,81.0,74.0,75.0,81.0,11.0,24.0,12.0,7.0,15.0,9.0,5.0,13.0,D. Sturridge,England
530,31,80,80,1,3.0,4.0,78.0,79.0,90.0,79.0,55.0,78.0,72.0,68.0,80.0,85.0,47.0,57.0,66.0,86.0,64.0,85.0,76.0,74.0,82.0,86.0,84.0,69.0,85.0,83.0,76.0,83.0,69.0,74.0,63.0,14.0,16.0,14.0,16.0,15.0,Raúl García,Spain
531,30,80,80,1,3.0,3.0,77.0,67.0,62.0,81.0,70.0,78.0,78.0,77.0,78.0,80.0,67.0,62.0,71.0,80.0,79.0,76.0,70.0,77.0,68.0,74.0,81.0,82.0,73.0,80.0,71.0,82.0,79.0,76.0,71.0,7.0,6.0,14.0,16.0,10.0,S. Defour,Belgium
532,33,80,80,1,2.0,2.0,39.0,35.0,83.0,68.0,43.0,46.0,33.0,27.0,67.0,57.0,49.0,62.0,49.0,72.0,52.0,46.0,73.0,76.0,86.0,35.0,82.0,79.0,33.0,28.0,39.0,71.0,77.0,82.0,78.0,15.0,5.0,7.0,6.0,11.0,M. Škrtel,Slovakia
533,31,80,80,0,3.0,3.0,67.0,55.0,70.0,71.0,51.0,66.0,45.0,48.0,67.0,69.0,70.0,68.0,70.0,78.0,67.0,79.0,65.0,69.0,74.0,74.0,75.0,85.0,55.0,60.0,57.0,76.0,86.0,86.0,85.0,9.0,12.0,12.0,6.0,13.0,S. Radu,Romania
534,32,80,80,1,3.0,2.0,28.0,56.0,85.0,66.0,47.0,56.0,48.0,27.0,60.0,61.0,42.0,48.0,51.0,79.0,47.0,63.0,80.0,61.0,79.0,64.0,85.0,78.0,45.0,56.0,53.0,74.0,83.0,82.0,81.0,5.0,12.0,9.0,5.0,12.0,G. Cahill,England
535,33,80,80,1,3.0,3.0,60.0,38.0,59.0,79.0,37.0,73.0,57.0,41.0,75.0,80.0,69.0,69.0,79.0,77.0,87.0,74.0,76.0,85.0,68.0,67.0,77.0,80.0,50.0,73.0,49.0,83.0,78.0,79.0,81.0,9.0,5.0,12.0,10.0,15.0,L. Diarra,France
536,32,80,80,1,3.0,2.0,65.0,55.0,81.0,74.0,44.0,62.0,59.0,51.0,77.0,73.0,62.0,63.0,63.0,76.0,72.0,65.0,81.0,73.0,78.0,61.0,77.0,83.0,58.0,63.0,68.0,80.0,77.0,84.0,82.0,6.0,7.0,12.0,11.0,14.0,L. Perrin,France
537,34,80,80,0,4.0,2.0,58.0,47.0,80.0,74.0,44.0,57.0,51.0,55.0,76.0,74.0,38.0,41.0,52.0,76.0,64.0,64.0,65.0,62.0,81.0,53.0,74.0,79.0,41.0,62.0,57.0,78.0,82.0,82.0,80.0,14.0,8.0,10.0,6.0,13.0,Dante,Brazil
538,33,80,80,1,4.0,2.0,49.0,51.0,81.0,73.0,37.0,49.0,36.0,40.0,67.0,63.0,46.0,49.0,55.0,76.0,36.0,74.0,64.0,67.0,83.0,59.0,81.0,82.0,54.0,49.0,79.0,78.0,82.0,83.0,79.0,7.0,9.0,12.0,10.0,15.0,A. Granqvist,Sweden
539,32,80,80,1,3.0,3.0,72.0,83.0,78.0,70.0,78.0,73.0,77.0,70.0,68.0,73.0,73.0,68.0,66.0,74.0,55.0,84.0,72.0,71.0,89.0,79.0,80.0,51.0,80.0,72.0,78.0,80.0,33.0,41.0,23.0,10.0,15.0,14.0,11.0,11.0,A. Gignac,France
540,32,80,80,1,4.0,3.0,60.0,81.0,82.0,70.0,73.0,72.0,68.0,36.0,50.0,71.0,63.0,66.0,62.0,80.0,50.0,82.0,76.0,60.0,86.0,74.0,73.0,20.0,83.0,62.0,69.0,83.0,40.0,31.0,20.0,8.0,8.0,9.0,7.0,14.0,M. Gómez,Germany
541,32,80,80,1,3.0,1.0,19.0,13.0,18.0,23.0,10.0,15.0,19.0,13.0,22.0,22.0,51.0,50.0,53.0,71.0,45.0,24.0,62.0,35.0,72.0,13.0,24.0,17.0,11.0,59.0,10.0,67.0,18.0,13.0,13.0,77.0,72.0,78.0,82.0,84.0,I. Akinfeev,Russia
542,34,80,80,1,3.0,3.0,67.0,61.0,59.0,80.0,60.0,73.0,62.0,54.0,74.0,78.0,67.0,65.0,77.0,76.0,76.0,71.0,70.0,86.0,64.0,63.0,88.0,80.0,64.0,72.0,62.0,77.0,81.0,81.0,73.0,13.0,7.0,15.0,13.0,12.0,I. Denisov,Russia
543,33,80,80,1,3.0,3.0,81.0,54.0,59.0,77.0,49.0,75.0,80.0,59.0,66.0,78.0,74.0,86.0,74.0,82.0,63.0,68.0,68.0,80.0,74.0,53.0,78.0,76.0,68.0,72.0,66.0,74.0,75.0,81.0,80.0,11.0,14.0,10.0,15.0,7.0,Juanfran,Spain
544,36,80,80,1,3.0,1.0,11.0,12.0,10.0,28.0,14.0,11.0,10.0,11.0,23.0,23.0,34.0,52.0,48.0,78.0,47.0,22.0,68.0,42.0,66.0,11.0,36.0,16.0,11.0,53.0,21.0,62.0,16.0,13.0,14.0,75.0,81.0,74.0,81.0,76.0,Diego López,Spain
545,33,80,80,1,5.0,5.0,85.0,71.0,58.0,85.0,72.0,84.0,86.0,78.0,84.0,86.0,58.0,52.0,72.0,76.0,84.0,77.0,53.0,53.0,54.0,76.0,64.0,61.0,76.0,86.0,80.0,88.0,62.0,60.0,50.0,6.0,9.0,5.0,7.0,15.0,Santi Cazorla,Spain
546,32,80,80,1,2.0,3.0,82.0,64.0,55.0,75.0,75.0,80.0,82.0,46.0,73.0,80.0,89.0,88.0,87.0,78.0,87.0,75.0,65.0,82.0,35.0,70.0,63.0,69.0,79.0,73.0,56.0,70.0,62.0,61.0,62.0,10.0,10.0,15.0,7.0,13.0,Jesús Navas,Spain
547,34,80,80,1,3.0,2.0,63.0,42.0,66.0,79.0,51.0,58.0,63.0,50.0,75.0,80.0,69.0,62.0,72.0,79.0,78.0,76.0,80.0,76.0,72.0,55.0,88.0,85.0,51.0,68.0,60.0,81.0,78.0,81.0,82.0,6.0,10.0,8.0,5.0,5.0,J. Mascherano,Argentina
548,34,80,80,1,2.0,1.0,10.0,17.0,13.0,35.0,15.0,24.0,17.0,13.0,35.0,25.0,44.0,43.0,50.0,77.0,50.0,23.0,62.0,33.0,55.0,15.0,32.0,17.0,10.0,43.0,21.0,65.0,10.0,12.0,12.0,82.0,80.0,64.0,78.0,82.0,A. Mirante,Italy
549,36,80,80,1,4.0,3.0,85.0,69.0,60.0,85.0,72.0,72.0,86.0,83.0,87.0,83.0,69.0,76.0,71.0,78.0,65.0,83.0,67.0,74.0,72.0,77.0,83.0,85.0,76.0,86.0,84.0,81.0,77.0,78.0,77.0,10.0,10.0,6.0,6.0,12.0,D. Srna,Croatia
550,33,80,80,1,3.0,3.0,76.0,69.0,75.0,82.0,79.0,71.0,82.0,74.0,83.0,78.0,36.0,37.0,61.0,81.0,63.0,81.0,71.0,67.0,75.0,77.0,77.0,77.0,73.0,81.0,77.0,87.0,76.0,74.0,75.0,14.0,14.0,13.0,13.0,11.0,B. Schweinsteiger,Germany
551,34,80,80,1,2.0,1.0,11.0,11.0,12.0,31.0,13.0,13.0,16.0,12.0,35.0,24.0,46.0,34.0,54.0,74.0,49.0,21.0,62.0,30.0,57.0,16.0,22.0,11.0,10.0,68.0,11.0,60.0,15.0,14.0,14.0,84.0,77.0,81.0,80.0,79.0,Moyá,Spain
552,32,80,80,1,4.0,3.0,77.0,80.0,75.0,81.0,83.0,74.0,84.0,83.0,82.0,80.0,65.0,65.0,66.0,82.0,77.0,85.0,74.0,74.0,78.0,80.0,81.0,56.0,80.0,82.0,81.0,86.0,57.0,55.0,40.0,10.0,11.0,13.0,8.0,7.0,W. Rooney,England
553,34,80,80,1,4.0,3.0,68.0,76.0,77.0,79.0,81.0,80.0,80.0,63.0,51.0,79.0,71.0,78.0,70.0,73.0,51.0,83.0,75.0,60.0,72.0,73.0,62.0,20.0,80.0,76.0,74.0,69.0,39.0,22.0,18.0,14.0,13.0,8.0,9.0,10.0,Fernando Torres,Spain
554,39,80,80,1,3.0,1.0,11.0,10.0,10.0,36.0,18.0,14.0,14.0,11.0,34.0,20.0,34.0,40.0,52.0,67.0,48.0,21.0,74.0,28.0,74.0,13.0,22.0,25.0,10.0,34.0,20.0,66.0,25.0,10.0,13.0,81.0,82.0,66.0,82.0,79.0,S. Sorrentino,Italy
555,20,79,86,0,4.0,4.0,76.0,75.0,45.0,80.0,68.0,80.0,68.0,71.0,69.0,81.0,82.0,83.0,77.0,78.0,73.0,70.0,50.0,74.0,47.0,72.0,57.0,39.0,75.0,80.0,61.0,79.0,66.0,36.0,37.0,9.0,7.0,15.0,6.0,12.0,V. Tsygankov,Ukraine
556,21,79,85,1,4.0,2.0,34.0,29.0,81.0,69.0,30.0,54.0,33.0,26.0,44.0,60.0,63.0,64.0,47.0,75.0,56.0,54.0,76.0,77.0,78.0,22.0,94.0,76.0,39.0,34.0,45.0,72.0,79.0,80.0,75.0,7.0,8.0,13.0,7.0,12.0,Rúben Dias,Portugal
557,21,79,86,0,3.0,5.0,66.0,76.0,50.0,78.0,72.0,87.0,65.0,52.0,52.0,84.0,85.0,86.0,91.0,72.0,84.0,72.0,58.0,73.0,63.0,65.0,52.0,37.0,73.0,78.0,69.0,78.0,32.0,32.0,32.0,14.0,10.0,5.0,13.0,6.0,David Neres,Brazil
558,21,79,86,0,3.0,4.0,76.0,75.0,45.0,73.0,69.0,81.0,77.0,74.0,62.0,80.0,88.0,86.0,86.0,79.0,82.0,80.0,70.0,87.0,65.0,74.0,74.0,52.0,79.0,73.0,68.0,81.0,45.0,41.0,27.0,8.0,7.0,13.0,8.0,14.0,Raphinha,Brazil
559,21,79,86,1,4.0,5.0,69.0,63.0,46.0,78.0,64.0,86.0,70.0,54.0,75.0,84.0,87.0,77.0,90.0,76.0,83.0,67.0,57.0,73.0,32.0,64.0,46.0,39.0,73.0,77.0,57.0,71.0,44.0,50.0,32.0,15.0,13.0,10.0,13.0,6.0,A. Harit,Morocco
560,21,79,86,1,5.0,4.0,69.0,79.0,75.0,75.0,64.0,84.0,71.0,65.0,59.0,79.0,83.0,85.0,78.0,78.0,74.0,80.0,80.0,78.0,76.0,64.0,82.0,35.0,78.0,72.0,69.0,77.0,46.0,44.0,36.0,12.0,7.0,8.0,11.0,13.0,Richarlison,Brazil
561,20,79,86,1,4.0,4.0,56.0,82.0,79.0,62.0,68.0,78.0,71.0,33.0,50.0,79.0,82.0,83.0,79.0,75.0,70.0,79.0,81.0,75.0,86.0,68.0,74.0,31.0,79.0,72.0,59.0,77.0,46.0,22.0,25.0,11.0,8.0,8.0,8.0,13.0,L. Martínez,Argentina
562,21,79,88,1,4.0,3.0,66.0,64.0,68.0,79.0,60.0,78.0,58.0,48.0,75.0,79.0,71.0,77.0,68.0,76.0,79.0,84.0,79.0,96.0,87.0,76.0,86.0,80.0,76.0,71.0,82.0,76.0,80.0,78.0,74.0,9.0,11.0,12.0,12.0,10.0,F. Kessié,Ivory Coast
563,30,79,79,1,4.0,4.0,42.0,79.0,73.0,74.0,76.0,82.0,79.0,60.0,56.0,78.0,86.0,82.0,83.0,82.0,69.0,75.0,82.0,80.0,67.0,82.0,43.0,20.0,82.0,75.0,74.0,73.0,27.0,20.0,19.0,9.0,12.0,8.0,10.0,9.0,Luimo Boas Santos,Brazil
564,26,79,79,1,3.0,1.0,8.0,9.0,7.0,11.0,8.0,18.0,12.0,13.0,12.0,20.0,58.0,62.0,66.0,76.0,43.0,15.0,60.0,23.0,60.0,12.0,35.0,12.0,5.0,60.0,15.0,64.0,22.0,9.0,16.0,81.0,75.0,71.0,77.0,82.0,Gabri Prestão,Brazil
565,30,79,79,1,3.0,2.0,52.0,68.0,83.0,78.0,67.0,72.0,64.0,68.0,72.0,74.0,62.0,78.0,67.0,75.0,69.0,75.0,71.0,87.0,82.0,70.0,84.0,72.0,67.0,72.0,72.0,76.0,82.0,84.0,77.0,15.0,7.0,16.0,9.0,8.0,Melvin Parrela,Brazil
566,30,79,79,0,3.0,2.0,55.0,51.0,76.0,68.0,44.0,44.0,54.0,50.0,72.0,62.0,67.0,72.0,49.0,79.0,49.0,43.0,88.0,62.0,81.0,51.0,88.0,77.0,24.0,47.0,66.0,70.0,81.0,78.0,81.0,9.0,14.0,13.0,8.0,10.0,Antônio Chiamuloira,Brazil
567,34,79,79,1,3.0,3.0,81.0,48.0,69.0,73.0,49.0,78.0,55.0,49.0,75.0,77.0,83.0,76.0,82.0,81.0,75.0,52.0,51.0,85.0,62.0,56.0,62.0,77.0,57.0,61.0,41.0,54.0,79.0,78.0,76.0,15.0,13.0,12.0,10.0,15.0,Maikel Catarino,Brazil
568,26,79,81,1,3.0,1.0,16.0,14.0,17.0,25.0,13.0,15.0,18.0,17.0,32.0,17.0,58.0,54.0,36.0,76.0,50.0,24.0,60.0,27.0,70.0,13.0,26.0,20.0,11.0,63.0,15.0,69.0,18.0,20.0,12.0,80.0,73.0,65.0,77.0,85.0,A. Lunev,Russia
569,22,79,87,1,3.0,4.0,59.0,82.0,77.0,69.0,79.0,77.0,69.0,33.0,58.0,79.0,77.0,83.0,77.0,77.0,72.0,76.0,84.0,77.0,74.0,60.0,76.0,55.0,83.0,68.0,80.0,75.0,28.0,40.0,35.0,14.0,13.0,7.0,11.0,8.0,André Silva,Portugal
570,19,79,87,1,4.0,4.0,69.0,67.0,46.0,77.0,70.0,87.0,69.0,58.0,56.0,82.0,93.0,88.0,87.0,79.0,89.0,79.0,84.0,74.0,52.0,58.0,45.0,32.0,73.0,78.0,61.0,67.0,38.0,30.0,41.0,8.0,12.0,13.0,16.0,14.0,C. Pulisic,United States
571,26,79,80,0,2.0,1.0,30.0,20.0,20.0,40.0,20.0,8.0,20.0,9.0,40.0,9.0,39.0,35.0,32.0,73.0,37.0,40.0,45.0,45.0,79.0,17.0,20.0,17.0,9.0,45.0,9.0,59.0,19.0,22.0,20.0,74.0,79.0,78.0,81.0,79.0,M. Dmitrović,Serbia
572,21,79,84,1,3.0,3.0,60.0,42.0,76.0,76.0,43.0,69.0,36.0,45.0,73.0,73.0,69.0,69.0,64.0,76.0,68.0,73.0,81.0,85.0,82.0,54.0,85.0,82.0,51.0,67.0,48.0,71.0,77.0,82.0,76.0,11.0,15.0,16.0,10.0,15.0,L. Tousart,France
573,23,79,87,1,3.0,3.0,56.0,39.0,61.0,84.0,44.0,68.0,45.0,51.0,81.0,78.0,61.0,59.0,58.0,74.0,66.0,58.0,66.0,75.0,72.0,56.0,65.0,80.0,65.0,76.0,53.0,76.0,76.0,79.0,72.0,13.0,6.0,6.0,11.0,15.0,Marcos Llorente,Spain
574,24,79,81,1,3.0,4.0,70.0,74.0,65.0,75.0,68.0,81.0,63.0,65.0,69.0,80.0,85.0,81.0,78.0,79.0,81.0,70.0,72.0,77.0,72.0,71.0,74.0,32.0,80.0,75.0,63.0,76.0,54.0,34.0,33.0,15.0,11.0,13.0,6.0,12.0,B. Verbič,Slovenia
575,20,79,86,1,2.0,4.0,72.0,73.0,55.0,75.0,67.0,87.0,76.0,66.0,53.0,83.0,87.0,88.0,78.0,71.0,89.0,78.0,71.0,74.0,76.0,74.0,44.0,26.0,74.0,73.0,59.0,75.0,40.0,31.0,26.0,11.0,14.0,12.0,14.0,13.0,S. Bergwijn,Netherlands
576,22,79,86,0,3.0,3.0,66.0,38.0,81.0,76.0,39.0,73.0,46.0,32.0,78.0,76.0,75.0,77.0,75.0,78.0,69.0,43.0,84.0,76.0,78.0,24.0,76.0,77.0,56.0,68.0,41.0,81.0,75.0,80.0,78.0,12.0,7.0,7.0,7.0,8.0,A. Diallo,France
577,22,79,85,1,4.0,4.0,69.0,72.0,38.0,80.0,70.0,86.0,75.0,79.0,73.0,82.0,80.0,83.0,82.0,79.0,78.0,76.0,63.0,85.0,54.0,75.0,81.0,70.0,73.0,78.0,52.0,80.0,67.0,75.0,66.0,12.0,14.0,14.0,10.0,16.0,A. Golovin,Russia
578,29,79,80,1,3.0,1.0,21.0,16.0,15.0,31.0,12.0,18.0,15.0,13.0,25.0,29.0,40.0,48.0,40.0,71.0,44.0,28.0,60.0,18.0,81.0,17.0,27.0,30.0,18.0,55.0,23.0,51.0,22.0,16.0,18.0,81.0,75.0,74.0,80.0,82.0,M. Campaña,Uruguay
579,22,79,85,1,3.0,3.0,76.0,72.0,48.0,76.0,57.0,79.0,72.0,77.0,68.0,76.0,93.0,90.0,92.0,77.0,85.0,84.0,61.0,92.0,73.0,84.0,56.0,49.0,78.0,77.0,59.0,68.0,65.0,34.0,30.0,11.0,10.0,9.0,13.0,7.0,C. Pavón,Argentina
580,25,79,80,1,4.0,3.0,74.0,81.0,74.0,69.0,72.0,80.0,62.0,63.0,58.0,80.0,84.0,83.0,79.0,76.0,75.0,78.0,71.0,70.0,77.0,72.0,43.0,28.0,80.0,65.0,69.0,78.0,27.0,14.0,18.0,10.0,12.0,12.0,8.0,14.0,K. Toko-Ekambi,Cameroon
581,29,79,79,0,4.0,3.0,73.0,74.0,55.0,83.0,56.0,76.0,80.0,76.0,79.0,80.0,65.0,60.0,71.0,72.0,77.0,73.0,66.0,69.0,64.0,81.0,73.0,74.0,74.0,78.0,68.0,69.0,55.0,75.0,65.0,6.0,13.0,13.0,14.0,14.0,Granell,Spain
582,24,79,84,0,3.0,5.0,78.0,65.0,48.0,73.0,55.0,85.0,78.0,76.0,67.0,84.0,93.0,90.0,91.0,82.0,91.0,68.0,60.0,87.0,33.0,64.0,71.0,59.0,75.0,72.0,56.0,81.0,42.0,50.0,53.0,12.0,8.0,9.0,11.0,10.0,F. Cervi,Argentina
583,22,79,84,1,3.0,3.0,58.0,41.0,63.0,85.0,56.0,74.0,63.0,46.0,80.0,79.0,72.0,59.0,77.0,80.0,65.0,48.0,67.0,80.0,63.0,52.0,64.0,84.0,56.0,77.0,50.0,80.0,74.0,78.0,73.0,6.0,14.0,16.0,11.0,7.0,J. Weigl,Germany
584,23,79,85,1,3.0,3.0,64.0,36.0,76.0,79.0,34.0,66.0,64.0,66.0,73.0,75.0,68.0,77.0,66.0,75.0,63.0,68.0,75.0,75.0,77.0,57.0,78.0,79.0,44.0,67.0,55.0,76.0,77.0,80.0,77.0,12.0,16.0,8.0,7.0,9.0,V. Lindelöf,Sweden
585,24,79,82,1,3.0,3.0,74.0,79.0,71.0,72.0,83.0,83.0,75.0,58.0,57.0,79.0,83.0,86.0,75.0,77.0,66.0,81.0,66.0,80.0,83.0,78.0,84.0,29.0,75.0,68.0,63.0,73.0,20.0,50.0,25.0,13.0,15.0,12.0,13.0,14.0,A. Rebić,Croatia
586,22,79,85,1,4.0,4.0,67.0,81.0,77.0,74.0,67.0,82.0,73.0,64.0,63.0,83.0,77.0,79.0,78.0,74.0,75.0,75.0,75.0,69.0,76.0,65.0,32.0,21.0,82.0,73.0,69.0,76.0,50.0,20.0,15.0,8.0,14.0,9.0,14.0,13.0,A. Sanabria,Paraguay
